year,Original_Food retailing,Original_ Household goods retailing,"Original_Clothing, footwear and personal accessory retailing",Original_Department stores,Original_ Other retailing,"Original_Cafes, restaurants and takeaway food services",Original_Total (Industry),Seasonally_Food retailing,Seasonally_Household goods retailing,"Seasonally_Clothing, footwear and personal accessory retailing",Seasonally_Department stores,Seasonally_Other retailing,"Seasonally_Cafes, restaurants and takeaway food services",Seasonally_Total (Industry),Turnover ;  Total (State) ;  Food retailing ;,Trend_Household goods retailing,"Trend_Clothing, footwear and personal accessory retailing",Trend_Department stores,Trend_Other retailing,"Trend_Cafes, restaurants and takeaway food services",Trend_Total (Industry)
Aug-2007,7001.1,3433.6,1406.8,1315.5,2386.6,2257.9,17801.5,6970.2,3475.2,1498.6,1488.6,2413.7,2216.2,18062.6,6988.0,3473.6,1503.8,1485.7,2407.8,2210.0,18075.3
Sep-2007,6847.4,3443.2,1459.1,1353.3,2321.0,2179.5,17603.5,7065.7,3545.7,1498.3,1497.0,2434.3,2218.4,18259.4,7027.7,3500.9,1512.8,1497.0,2434.1,2212.2,18210.1
Oct-2007,7144.7,3591.4,1561.1,1440.6,2535.3,2257.3,18530.4,7068.8,3494.2,1525.2,1507.5,2516.9,2183.7,18296.3,7063.7,3521.3,1520.2,1508.2,2510.5,2212.6,18316.1
Nov-2007,7250.0,3774.4,1617.8,1687.9,2692.3,2284.6,19307.1,7071.8,3530.1,1533.9,1514.9,2525.7,2224.7,18401.0,7083.5,3530.6,1521.1,1517.4,2533.2,2210.0,18384.1
Dec-2007,8154.3,4684.7,2204.2,2747.0,3582.4,2461.1,23833.7,7108.2,3550.4,1520.0,1526.3,2545.3,2222.8,18473.0,7091.4,3530.8,1523.2,1525.4,2548.1,2205.7,18426.9
Jan-2008,7206.3,3535.1,1461.1,1397.8,2437.1,2163.5,18201.0,7099.0,3531.5,1512.3,1539.2,2568.5,2184.1,18434.6,7100.3,3527.4,1522.7,1530.5,2559.2,2201.1,18448.9
Feb-2008,6787.8,3142.9,1278.1,1140.5,2355.5,2086.7,16791.4,7064.6,3498.3,1526.9,1537.5,2571.9,2208.7,18407.9,7113.6,3523.3,1520.0,1533.9,2569.9,2195.9,18457.0
Mar-2008,7315.8,3212.5,1353.9,1351.7,2414.5,2159.4,17807.9,7179.4,3521.6,1503.8,1515.5,2573.6,2179.2,18473.2,7129.9,3517.6,1516.2,1535.0,2579.5,2190.4,18465.4
Apr-2008,6882.6,3238.4,1486.7,1396.6,2390.5,2148.2,17543.0,7142.3,3507.2,1541.9,1551.3,2576.7,2179.5,18499.0,7167.6,3510.4,1514.6,1533.7,2586.5,2185.4,18479.0
May-2008,7163.6,3349.2,1541.9,1421.1,2530.9,2176.7,18183.5,7196.1,3503.3,1511.6,1516.8,2609.9,2183.7,18521.4,7208.3,3504.0,1509.0,1530.6,2588.4,2181.3,18497.4
Jun-2008,6761.8,3443.7,1402.5,1401.6,2378.4,2089.9,17477.9,7220.6,3501.9,1465.9,1428.9,2584.9,2190.6,18392.7,7250.3,3493.3,1506.1,1525.5,2587.6,2177.9,18519.8
Jul-2008,7240.5,3413.8,1460.4,1582.3,2521.7,2172.6,18391.2,7354.5,3493.8,1521.5,1543.5,2589.1,2179.7,18682.2,7294.9,3476.6,1506.8,1519.9,2592.4,2175.3,18544.9
Aug-2008,7355.4,3411.0,1419.4,1268.4,2540.0,2204.0,18198.2,7379.1,3458.2,1521.7,1469.5,2601.3,2172.8,18602.6,7337.8,3453.9,1508.7,1514.9,2595.0,2175.7,18575.1
Sep-2008,7095.7,3327.8,1468.3,1383.3,2485.9,2124.2,17885.2,7331.7,3407.0,1512.4,1534.2,2574.5,2161.3,18521.1,7377.8,3432.3,1512.3,1509.8,2604.7,2181.4,18620.1
Oct-2008,7642.8,3530.5,1547.4,1452.4,2668.9,2302.4,19144.5,7445.9,3431.5,1503.9,1501.2,2621.4,2199.8,18703.8,7483.2,3415.4,1516.6,1504.9,2609.8,2193.4,18690.5
Nov-2008,7630.1,3595.6,1594.1,1675.9,2740.0,2242.8,19478.5,7522.6,3388.7,1525.8,1491.1,2624.4,2208.5,18761.2,7541.2,3411.3,1523.5,1500.8,2629.0,2211.9,18787.6
Dec-2008,8784.9,4908.6,2308.7,2886.1,3816.6,2479.4,25184.3,7694.7,3676.7,1593.4,1616.4,2703.8,2246.0,19530.9,7603.2,3416.7,1531.1,1498.4,2649.9,2235.8,18905.7
Jan-2009,7985.3,3560.7,1543.2,1451.0,2525.9,2318.3,19384.5,7770.6,3548.4,1587.7,1583.9,2657.7,2317.1,19465.5,7664.5,3431.0,1540.0,1498.0,2666.9,2263.1,19033.4
Feb-2009,7151.3,2968.2,1259.1,1056.6,2349.1,2069.5,16853.8,7750.6,3455.3,1563.9,1471.4,2674.3,2296.1,19211.7,7721.4,3450.5,1548.9,1498.4,2684.7,2291.4,19157.4
Mar-2009,7832.4,3301.6,1518.6,1386.9,2585.3,2303.2,18927.9,7875.1,3522.1,1661.6,1626.5,2718.1,2316.0,19719.3,7760.7,3470.6,1554.9,1501.0,2699.3,2318.3,19264.2
Apr-2009,7710.6,3203.9,1579.8,1509.1,2519.0,2326.9,18849.3,7799.7,3564.0,1682.1,1613.0,2714.5,2371.3,19744.5,7789.3,3490.4,1563.9,1506.6,2710.7,2342.1,19354.7
May-2009,7763.2,3379.7,1709.3,1519.4,2624.2,2401.7,19397.5,7897.3,3560.7,1690.2,1630.9,2742.4,2418.7,19940.1,7805.3,3502.8,1571.3,1513.0,2716.0,2362.6,19426.8
Jun-2009,7399.3,3620.6,1568.0,1500.5,2551.6,2263.0,18902.9,7913.1,3645.1,1631.2,1527.3,2735.0,2381.3,19832.9,7819.6,3509.0,1581.0,1522.2,2715.9,2381.4,19490.6
Jul-2009,7725.6,3452.3,1514.7,1570.7,2682.3,2415.1,19360.6,7799.4,3529.4,1600.1,1541.8,2731.8,2391.1,19593.6,7839.6,3512.3,1593.2,1532.2,2712.3,2404.3,19561.2
Aug-2009,7807.5,3467.7,1498.2,1341.5,2595.8,2446.1,19156.7,7857.2,3526.6,1614.4,1558.6,2674.6,2428.0,19659.3,7864.5,3516.2,1603.0,1542.6,2706.2,2431.6,19650.1
Sep-2009,7635.8,3406.1,1537.2,1399.9,2620.5,2430.7,19030.3,7899.3,3476.0,1598.4,1527.3,2693.8,2454.4,19649.3,7897.3,3523.9,1610.7,1553.5,2708.1,2463.3,19752.8
Oct-2009,8109.7,3641.4,1631.4,1534.3,2775.7,2602.0,20294.6,7859.9,3514.7,1594.9,1581.4,2710.2,2493.1,19754.1,7923.3,3530.9,1611.7,1564.0,2717.3,2495.9,19848.3
Nov-2009,8204.0,3787.3,1692.5,1736.6,2849.8,2569.9,20840.1,8033.6,3585.4,1660.0,1586.6,2734.5,2534.5,20134.6,7938.8,3536.5,1617.7,1570.9,2727.6,2526.1,19921.7
Dec-2009,9249.0,4706.0,2493.6,2795.1,3817.7,2897.1,25958.5,7982.8,3533.1,1590.9,1535.6,2758.3,2591.0,19991.5,7944.0,3544.0,1613.0,1572.3,2740.6,2551.0,19969.4
Jan-2010,8093.4,3561.0,1545.9,1469.1,2601.3,2521.3,19792.0,7956.5,3568.6,1625.6,1604.2,2759.3,2539.1,20053.3,7947.5,3551.1,1608.9,1568.4,2752.1,2568.0,19995.3
Feb-2010,7243.1,3052.5,1273.6,1111.9,2426.4,2323.9,17431.5,7857.7,3556.9,1590.3,1551.6,2752.5,2582.8,19891.7,7954.0,3557.8,1605.8,1561.6,2758.6,2575.8,20013.9
Mar-2010,8017.8,3322.8,1452.3,1379.9,2709.9,2607.5,19490.3,7919.9,3501.1,1598.0,1565.9,2764.0,2590.9,19939.8,7972.0,3564.9,1607.3,1553.5,2761.3,2586.2,20044.7
Apr-2010,7835.6,3213.8,1507.5,1389.7,2549.6,2535.8,19032.0,8051.9,3607.2,1611.6,1527.2,2764.3,2598.0,20160.2,7999.7,3569.1,1613.1,1547.6,2769.5,2609.9,20106.7
May-2010,7887.6,3360.1,1653.6,1427.2,2633.7,2571.4,19533.6,8066.7,3571.5,1633.3,1533.8,2773.0,2622.3,20200.6,8031.5,3571.1,1624.8,1545.2,2781.0,2643.2,20195.7
Jun-2010,7527.9,3591.7,1558.6,1551.4,2604.6,2504.9,19339.1,8066.4,3617.9,1622.6,1553.1,2786.1,2631.5,20277.7,8056.9,3567.8,1636.3,1545.4,2800.9,2680.4,20285.0
Jul-2010,8044.4,3480.7,1579.0,1581.0,2765.1,2781.3,20231.6,8085.4,3538.1,1652.8,1551.8,2805.2,2752.2,20385.6,8067.8,3564.6,1639.7,1546.8,2818.3,2706.2,20346.9
Aug-2010,7924.7,3497.8,1511.0,1324.0,2803.4,2800.0,19860.8,8052.1,3538.2,1645.4,1555.0,2879.1,2772.7,20442.5,8065.4,3563.7,1642.5,1547.8,2834.7,2717.5,20376.2
Sep-2010,7855.4,3476.1,1610.1,1422.0,2809.9,2742.8,19916.3,8044.1,3542.4,1666.8,1551.3,2868.9,2755.9,20429.4,8066.6,3568.1,1634.8,1546.6,2849.2,2713.3,20380.7
Oct-2010,8239.5,3692.1,1594.6,1464.9,2854.1,2730.2,20575.4,8077.0,3582.1,1591.7,1525.1,2835.9,2625.7,20237.6,8085.7,3571.7,1627.5,1543.0,2857.8,2697.4,20376.6
Nov-2010,8288.1,3831.0,1656.3,1705.5,2998.3,2684.4,21163.7,8113.4,3597.0,1613.0,1556.0,2848.2,2644.1,20371.8,8123.3,3573.5,1613.7,1538.4,2859.9,2674.3,20380.9
Dec-2010,9491.8,4839.5,2546.8,2752.4,3947.6,3021.1,26599.2,8124.4,3645.3,1624.5,1516.8,2857.9,2679.5,20448.3,8167.8,3570.5,1605.8,1536.9,2864.4,2654.4,20405.8
Jan-2011,8403.6,3458.3,1499.0,1412.6,2692.0,2598.2,20063.7,8276.2,3496.1,1575.7,1545.4,2896.5,2645.9,20435.8,8215.6,3571.4,1604.6,1537.0,2876.4,2645.2,20451.3
Feb-2011,7649.6,3065.6,1291.8,1117.5,2563.6,2391.3,18079.3,8296.9,3571.6,1623.7,1562.6,2910.9,2668.6,20634.3,8251.6,3567.5,1610.6,1536.6,2895.4,2644.0,20506.0
Mar-2011,8285.0,3365.1,1478.2,1321.6,2835.0,2648.9,19933.8,8255.8,3565.1,1616.9,1506.8,2924.5,2645.8,20514.9,8280.3,3567.1,1615.1,1534.2,2919.3,2644.7,20560.0
Apr-2011,8211.3,3253.1,1549.9,1472.6,2747.2,2598.9,19833.0,8292.0,3616.7,1640.9,1570.1,2963.7,2649.0,20732.4,8304.0,3568.1,1610.7,1529.2,2944.0,2646.6,20608.7
May-2011,8059.0,3391.7,1626.1,1408.9,2798.4,2604.1,19888.1,8311.9,3594.7,1615.0,1528.9,2952.9,2651.3,20654.7,8332.1,3573.4,1603.8,1521.5,2976.8,2652.1,20656.8
Jun-2011,7878.3,3531.3,1545.9,1471.9,2791.4,2519.5,19738.3,8333.8,3567.2,1589.9,1468.5,2982.2,2649.3,20590.9,8364.0,3583.9,1586.4,1512.1,3001.4,2665.2,20711.7
Jul-2011,8315.2,3463.3,1456.2,1532.5,2950.6,2701.9,20419.6,8429.4,3537.5,1553.1,1521.9,3057.7,2678.0,20777.6,8396.2,3598.7,1571.7,1502.4,3019.1,2682.5,20773.8
Aug-2011,8360.3,3578.6,1420.7,1293.5,2995.6,2739.6,20388.3,8463.9,3627.8,1548.4,1501.2,3048.2,2707.3,20896.9,8429.0,3619.7,1561.0,1494.6,3037.5,2699.3,20839.3
Sep-2011,8274.2,3613.9,1500.0,1345.7,2997.8,2744.3,20475.9,8436.5,3650.3,1549.9,1487.5,3037.9,2724.5,20886.6,8454.1,3640.7,1559.6,1489.6,3042.2,2713.1,20898.8
Oct-2011,8606.3,3769.0,1566.6,1404.7,3022.4,2814.4,21183.4,8451.8,3675.2,1575.9,1478.4,3042.3,2741.5,20965.1,8468.4,3651.7,1568.6,1488.8,3044.5,2723.3,20945.6
Nov-2011,8569.9,3920.7,1612.0,1660.0,3317.5,2784.2,21864.2,8511.1,3675.6,1577.8,1493.4,3019.1,2732.8,21009.7,8476.4,3649.9,1582.2,1491.6,3045.5,2730.6,20978.0
Dec-2011,9936.0,4867.7,2577.1,2730.5,4267.6,3046.6,27425.4,8477.0,3668.4,1614.0,1497.8,3075.5,2704.4,21037.1,8484.8,3631.6,1595.9,1494.6,3050.6,2740.3,20999.3
Jan-2012,8534.8,3540.6,1536.3,1362.4,2826.0,2729.5,20529.6,8479.7,3557.4,1622.2,1498.9,3044.4,2763.8,20966.5,8503.5,3606.1,1607.4,1502.6,3063.1,2754.7,21035.6
Feb-2012,8119.1,3144.9,1308.8,1131.7,2810.8,2556.0,19071.2,8516.3,3549.8,1596.0,1518.0,3079.9,2770.9,21030.7,8529.6,3585.0,1620.7,1514.5,3079.0,2778.1,21106.0
Mar-2012,8736.6,3396.4,1511.5,1349.2,3035.1,2839.3,20868.1,8581.2,3590.1,1629.2,1524.2,3101.8,2813.4,21239.8,8567.5,3578.0,1634.3,1526.0,3093.5,2809.1,21207.8
Apr-2012,8399.2,3180.4,1517.7,1391.2,2803.0,2737.4,20028.9,8611.6,3581.1,1640.1,1515.7,3098.7,2832.0,21279.2,8609.2,3589.5,1644.8,1534.7,3109.0,2843.2,21329.1
May-2012,8450.7,3435.8,1695.7,1456.9,2997.2,2836.7,20873.1,8636.5,3623.0,1658.0,1546.0,3112.3,2876.1,21451.9,8654.9,3611.4,1657.0,1539.0,3114.0,2873.1,21452.2
Jun-2012,8269.7,3579.5,1647.6,1616.4,2980.1,2784.8,20878.1,8730.2,3616.9,1685.1,1611.1,3154.9,2911.2,21709.5,8703.2,3637.0,1664.6,1538.4,3115.0,2895.1,21553.0
Jul-2012,8500.4,3601.1,1546.9,1423.4,2960.6,2932.2,20964.6,8745.7,3679.5,1675.3,1459.2,3093.0,2921.8,21574.3,8745.6,3652.7,1666.2,1534.3,3110.8,2904.5,21613.4
Aug-2012,8787.9,3627.1,1531.4,1359.0,3083.9,2962.7,21352.0,8768.2,3654.0,1659.8,1540.8,3081.1,2895.8,21599.8,8781.3,3655.6,1657.8,1527.3,3102.3,2904.9,21629.6
Sep-2012,8582.8,3639.0,1565.6,1367.8,2999.1,2885.9,21040.2,8808.4,3703.9,1639.2,1523.7,3114.6,2895.1,21684.7,8810.7,3650.2,1650.3,1520.4,3095.0,2896.9,21623.9
Oct-2012,8982.0,3725.3,1619.9,1442.6,3113.9,2966.7,21850.4,8875.0,3617.9,1636.8,1519.4,3085.4,2886.5,21621.0,8837.1,3642.3,1647.3,1517.1,3091.1,2887.9,21622.7
Nov-2012,9048.5,3851.4,1682.8,1672.9,3451.5,2973.1,22680.2,8859.1,3582.7,1631.8,1515.3,3093.1,2884.5,21566.4,8865.3,3638.6,1649.4,1518.3,3090.1,2881.5,21641.6
Dec-2012,10262.1,4760.2,2615.7,2753.3,4107.5,3177.5,27676.4,8844.0,3634.6,1660.4,1525.8,3076.9,2869.1,21610.8,8896.2,3643.5,1651.1,1521.9,3093.7,2881.6,21688.3
Jan-2013,9067.6,3669.1,1613.2,1397.4,2913.7,2849.6,21510.6,8933.8,3668.4,1668.2,1493.4,3105.4,2870.5,21739.7,8928.4,3652.0,1654.4,1526.6,3105.0,2886.9,21753.4
Feb-2013,8264.8,3201.1,1348.1,1113.6,2764.4,2607.7,19299.8,8974.2,3706.5,1698.0,1564.5,3128.4,2916.1,21987.7,8959.6,3659.0,1657.6,1528.3,3117.8,2898.1,21819.8
Mar-2013,9272.0,3393.1,1448.8,1397.3,2975.3,2924.0,21410.5,9024.1,3667.3,1608.3,1534.4,3111.5,2919.9,21865.5,8984.7,3668.2,1656.9,1526.2,3126.9,2913.3,21878.6
Apr-2013,8614.9,3320.2,1578.0,1339.1,2895.3,2853.5,20601.1,9006.7,3653.0,1661.2,1501.4,3133.5,2919.4,21875.1,9011.4,3675.4,1664.1,1519.0,3128.9,2927.2,21926.1
May-2013,8876.5,3456.3,1718.0,1441.9,3086.8,2901.5,21481.0,9009.1,3667.6,1683.0,1521.8,3180.2,2940.8,22002.5,9034.6,3680.5,1675.3,1510.5,3128.3,2939.5,21966.6
Jun-2013,8516.9,3602.2,1641.1,1537.4,2873.9,2813.0,20984.5,9027.5,3660.3,1689.3,1535.3,3110.6,2970.6,21993.5,9056.7,3686.9,1692.9,1504.2,3125.6,2951.6,22017.2
Jul-2013,8855.8,3642.3,1592.9,1390.6,3024.2,2968.4,21474.2,9099.8,3729.8,1712.7,1425.7,3116.4,2960.1,22044.6,9079.5,3695.4,1720.9,1502.3,3127.8,2966.7,22091.8
Aug-2013,9188.1,3726.1,1618.4,1337.2,3089.2,3065.1,22024.0,9132.8,3742.2,1744.4,1511.1,3084.2,2985.7,22200.4,9106.0,3705.8,1748.1,1505.8,3137.6,2992.3,22197.0
Sep-2013,8839.1,3624.9,1676.6,1359.4,3063.1,2988.7,21551.9,9136.8,3708.5,1783.3,1558.0,3171.3,2996.9,22354.7,9137.2,3714.4,1771.8,1513.7,3164.2,3027.1,22328.1
Oct-2013,9338.4,3844.8,1791.4,1463.3,3240.5,3175.4,22853.7,9155.0,3688.9,1794.4,1518.8,3198.3,3073.3,22428.7,9169.2,3729.3,1787.8,1519.6,3193.2,3070.3,22471.5
Nov-2013,9345.9,3997.8,1879.7,1668.9,3668.3,3210.8,23771.3,9159.4,3734.7,1823.0,1505.7,3279.7,3128.3,22630.9,9202.4,3750.6,1794.0,1521.9,3222.2,3118.4,22618.1
Dec-2013,10856.4,4963.8,2761.9,2725.5,4293.3,3536.8,29137.6,9414.1,3786.2,1761.6,1522.3,3223.1,3170.7,22878.0,9402.6,3782.4,1791.8,1520.4,3246.8,3165.7,22900.8
Jan-2014,9701.6,3810.6,1718.2,1451.0,3070.1,3209.1,22960.6,9509.6,3822.8,1773.0,1531.3,3239.7,3224.2,23100.5,9422.1,3815.5,1784.7,1514.4,3261.2,3205.4,23001.2
Feb-2014,8667.9,3362.4,1416.4,1064.9,2903.6,2879.9,20295.0,9418.8,3872.4,1790.6,1501.1,3291.1,3218.1,23092.1,9444.1,3846.2,1774.1,1508.0,3266.5,3232.7,23068.9
Mar-2014,9524.6,3627.0,1609.5,1293.2,3099.9,3232.0,22386.2,9455.8,3882.4,1768.6,1477.0,3261.3,3261.5,23106.6,9462.7,3868.8,1762.1,1504.8,3266.8,3248.1,23113.4
Apr-2014,9223.9,3460.9,1656.5,1442.9,3009.6,3182.1,21975.8,9458.6,3872.4,1758.0,1535.1,3272.6,3262.7,23159.4,9482.4,3883.0,1753.0,1502.9,3264.3,3258.4,23149.4
May-2014,9386.0,3653.0,1780.5,1411.8,3160.5,3228.3,22620.1,9490.2,3858.4,1731.6,1493.5,3260.5,3266.5,23100.7,9511.2,3894.5,1748.9,1501.3,3270.9,3266.9,23194.6
Jun-2014,8977.5,3844.1,1680.8,1461.6,3029.7,3067.5,22061.3,9569.0,3919.9,1743.7,1482.1,3268.6,3243.1,23226.4,9549.2,3903.3,1751.4,1501.3,3279.1,3275.3,23260.3
Jul-2014,9393.3,3878.1,1649.0,1501.6,3179.3,3315.8,22917.2,9603.9,3935.0,1753.2,1538.9,3275.2,3294.7,23400.9,9595.8,3915.2,1755.1,1502.8,3292.0,3282.7,23342.4
Aug-2014,9582.4,3846.1,1604.1,1254.2,3260.7,3350.7,22898.2,9643.5,3923.3,1772.0,1474.8,3324.9,3298.6,23437.0,9640.8,3926.2,1766.5,1506.5,3300.9,3290.9,23429.1
Sep-2014,9353.8,4033.2,1691.2,1356.4,3262.1,3360.4,23057.2,9665.4,4081.1,1784.0,1519.5,3309.1,3323.4,23682.6,9674.8,4098.9,1778.2,1510.9,3303.7,3301.6,23665.7
Oct-2014,9964.4,4278.7,1791.5,1478.7,3417.8,3401.6,24332.7,9707.8,4115.3,1801.7,1512.4,3345.2,3290.3,23772.6,9700.2,4111.3,1790.4,1516.1,3307.8,3315.8,23744.0
Nov-2014,9911.1,4421.3,1821.0,1687.7,3577.5,3374.9,24793.5,9743.3,4139.1,1782.8,1527.7,3267.3,3319.4,23779.6,9725.4,4125.0,1802.8,1521.9,3315.9,3330.3,23821.0
Dec-2014,11271.6,5357.5,2907.0,2756.9,4440.3,3692.7,30425.9,9743.7,4118.2,1828.1,1526.0,3304.9,3328.4,23849.3,9742.8,4141.5,1819.2,1526.5,3324.0,3343.0,23898.2
Jan-2015,9955.4,4157.9,1796.2,1471.2,3152.6,3391.3,23924.6,9723.7,4151.4,1830.1,1548.3,3334.0,3391.5,23978.8,9762.1,4160.8,1835.0,1528.6,3337.3,3353.1,23977.6
Feb-2015,9020.0,3682.4,1456.2,1053.8,2999.9,3027.5,21239.9,9809.6,4226.6,1835.6,1489.8,3399.0,3384.1,24144.8,9780.4,4181.1,1849.3,1528.0,3352.0,3364.9,24056.0
Mar-2015,9926.5,3983.5,1702.0,1367.2,3243.1,3361.9,23584.2,9792.9,4188.8,1873.6,1558.7,3373.2,3340.6,24127.8,9801.8,4198.9,1862.1,1527.2,3365.8,3373.5,24131.6
Apr-2015,9538.0,3713.9,1793.4,1442.2,3058.8,3266.5,22812.9,9819.7,4197.0,1903.7,1532.6,3355.7,3378.8,24187.5,9828.5,4220.4,1872.4,1529.2,3377.3,3382.5,24206.0
May-2015,9707.1,3976.9,1891.2,1428.7,3214.7,3314.0,23532.6,9858.4,4229.5,1877.6,1518.4,3368.6,3373.0,24225.6,9850.2,4243.3,1875.7,1534.4,3390.7,3389.7,24282.5
Jun-2015,9217.8,4319.2,1774.7,1480.9,3243.5,3257.5,23293.5,9886.4,4301.6,1822.7,1510.6,3435.1,3424.7,24381.1,9871.6,4267.8,1875.0,1542.8,3407.2,3397.2,24365.2
Jul-2015,9718.0,4186.1,1788.5,1540.9,3337.2,3445.3,24015.9,9888.3,4281.6,1898.3,1585.4,3402.5,3419.1,24475.3,9896.3,4295.0,1876.2,1553.0,3433.8,3404.5,24457.1
Aug-2015,9834.8,4159.8,1697.1,1331.9,3379.5,3421.1,23824.2,9918.7,4324.0,1883.0,1586.5,3456.1,3394.4,24562.7,9927.5,4322.8,1878.4,1564.0,3454.7,3408.9,24556.9
Sep-2015,9645.8,4273.9,1790.1,1400.1,3454.5,3444.4,24008.9,9934.2,4345.2,1895.7,1542.0,3505.5,3412.5,24635.1,9962.6,4347.0,1885.0,1574.7,3471.5,3412.4,24655.3
Oct-2015,10319.2,4567.9,1888.5,1566.3,3579.5,3525.8,25447.3,10015.6,4365.7,1889.1,1591.8,3502.1,3399.1,24763.4,9997.1,4366.0,1893.9,1584.5,3492.0,3415.1,24746.7
Nov-2015,10128.5,4692.8,1915.6,1730.5,3824.9,3491.3,25783.5,10033.7,4387.7,1888.6,1590.1,3488.2,3431.6,24819.9,10029.3,4384.1,1905.8,1591.0,3505.3,3420.7,24833.5
Dec-2015,11731.2,5735.9,3079.9,2913.6,4642.5,3819.9,31923.0,10081.9,4401.6,1917.7,1592.5,3485.2,3433.1,24912.0,10051.6,4399.6,1918.7,1594.4,3517.0,3429.8,24910.8
Jan-2016,10244.9,4376.7,1875.7,1519.2,3304.9,3431.8,24753.1,10052.6,4399.9,1936.5,1610.2,3553.9,3444.4,24997.5,10062.4,4409.5,1932.4,1595.9,3529.9,3439.7,24974.6
Feb-2016,9556.9,3979.6,1598.7,1155.8,3257.0,3186.9,22734.9,10051.4,4399.2,1956.1,1591.7,3551.2,3441.3,24990.8,10062.2,4410.6,1950.5,1594.9,3548.3,3451.7,25019.0
Mar-2016,10354.0,4097.4,1780.6,1451.5,3398.6,3435.2,24517.3,10090.4,4442.8,1975.8,1584.6,3561.0,3463.1,25117.7,10057.8,4402.6,1964.0,1589.6,3569.5,3462.8,25044.0
Apr-2016,9727.9,4064.9,1924.6,1451.0,3355.8,3451.7,23975.9,10030.0,4417.9,1979.5,1580.6,3587.9,3495.1,25091.0,10064.4,4384.2,1971.0,1581.1,3587.9,3478.2,25062.5
May-2016,9815.2,4092.5,1926.7,1449.7,3428.5,3431.0,24143.5,10067.0,4333.5,1937.8,1567.3,3603.9,3488.9,24998.3,10072.6,4369.8,1979.6,1571.9,3596.3,3500.4,25093.3
Jun-2016,9516.5,4357.3,1967.1,1596.1,3414.4,3313.9,24165.3,10108.6,4356.2,2003.2,1582.1,3609.8,3506.4,25166.2,10098.2,4370.6,1987.1,1561.6,3601.0,3528.3,25149.0
Jul-2016,9928.5,4225.1,1876.1,1468.3,3492.7,3573.0,24563.7,10104.6,4340.5,2004.4,1536.9,3617.0,3548.5,25151.9,10136.8,4389.2,1992.0,1551.5,3607.2,3557.9,25235.0
Aug-2016,10041.9,4239.4,1806.3,1293.9,3562.3,3647.5,24591.3,10203.1,4397.9,1998.5,1542.0,3582.2,3610.1,25333.8,10184.0,4421.6,1997.5,1543.1,3616.4,3584.6,25345.7
Sep-2016,10005.7,4469.0,1896.8,1393.5,3602.3,3696.3,25063.6,10243.5,4509.8,2008.8,1537.9,3624.3,3625.1,25549.4,10236.3,4460.7,2002.6,1537.7,3621.3,3606.4,25464.6
Oct-2016,10482.6,4696.8,1937.8,1497.4,3643.2,3716.6,25974.6,10270.1,4538.0,1987.7,1536.7,3629.8,3626.5,25588.8,10289.0,4489.7,2006.5,1535.0,3625.7,3620.5,25567.2
Nov-2016,10435.7,4874.4,2057.1,1684.3,4051.1,3678.5,26781.1,10342.7,4514.5,1981.9,1524.3,3651.1,3604.7,25619.2,10332.2,4497.9,2008.4,1536.2,3632.1,3627.5,25636.2
Dec-2016,12230.1,5782.3,3330.5,2850.4,4859.6,4047.3,33100.2,10392.6,4445.3,2049.5,1550.2,3657.4,3625.4,25720.5,10368.7,4488.8,2008.0,1541.2,3642.0,3629.4,25674.9
Jan-2017,10431.5,4463.5,1939.7,1428.5,3421.5,3621.4,25306.2,10384.3,4500.0,2031.7,1554.7,3615.9,3641.6,25728.2,10389.6,4474.5,2005.2,1548.5,3648.8,3632.1,25700.2
Feb-2017,9574.6,3897.6,1558.9,1092.4,3230.8,3260.6,22615.0,10421.3,4450.8,1972.0,1543.0,3641.4,3646.7,25675.2,10406.8,4469.8,2001.8,1555.9,3659.4,3638.1,25733.2
Mar-2017,10510.3,4196.9,1826.7,1370.3,3590.4,3619.0,25113.5,10387.2,4441.0,1981.0,1545.0,3694.9,3627.7,25676.9,10419.2,4480.4,2001.9,1560.9,3675.9,3650.1,25786.2
Apr-2017,10274.1,3994.9,1885.8,1522.6,3338.8,3567.0,24583.1,10433.0,4478.2,2010.0,1604.1,3698.2,3657.0,25880.4,10424.6,4500.6,2006.8,1560.9,3696.0,3661.6,25850.7
May-2017,10189.7,4291.0,2024.2,1452.4,3577.3,3598.6,25133.2,10440.3,4544.2,2018.3,1550.5,3714.3,3677.1,25944.7,10436.2,4521.5,2009.4,1557.2,3718.6,3670.3,25910.8
Jun-2017,9857.6,4659.4,1988.3,1557.2,3560.8,3544.2,25167.5,10452.0,4592.0,2009.0,1548.4,3719.3,3695.7,26016.4,10446.7,4526.9,2015.9,1551.8,3727.8,3676.1,25947.9
Jul-2017,10272.8,4365.1,1896.4,1445.5,3600.7,3698.1,25278.6,10478.1,4531.8,2047.0,1541.1,3751.5,3703.9,26053.4,10460.7,4519.2,2021.4,1547.1,3727.9,3682.5,25962.5
Aug-2017,10363.7,4347.3,1839.3,1303.1,3710.9,3711.2,25275.4,10449.3,4492.8,2021.1,1520.6,3748.8,3656.2,25888.9,10488.2,4501.3,2023.0,1544.4,3723.1,3692.0,25968.9
Sep-2017,10307.9,4384.6,1891.6,1407.2,3627.8,3729.7,25348.7,10523.3,4456.4,2012.8,1556.9,3710.0,3680.3,25939.7,10522.5,4484.6,2022.6,1544.6,3717.7,3704.4,25992.7
